,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
0,-0.6495866693654856,-0.39395577028310597,-0.1842963656777353,-0.14645500917980747,-0.3206414799517468,-0.10752661033067541,-0.0604805583154597,-0.038353849065140166,-1.480140534473364e-17,1.8642809419898917e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.6495866693654856,-0.39395577028310597,-0.1842963656777353,-0.14645500917980747,-0.3206414799517468,-0.10752661033067541,-0.0604805583154597,-0.038353849065140166,-1.480140534473364e-17,1.8642809419898917e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.6495866693654856,-0.39395577028310597,-0.1842963656777353,-0.14645500917980747,-0.3206414799517468,-0.10752661033067541,-0.0604805583154597,-0.038353849065140166,-1.480140534473364e-17,1.8642809419898917e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.6495866693654856,-0.39395577028310597,-0.1842963656777353,-0.14645500917980747,-0.3206414799517468,-0.10752661033067541,-0.0604805583154597,-0.038353849065140166,-1.480140534473364e-17,1.8642809419898917e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.6495866693654856,-0.39395577028310597,-0.1842963656777353,-0.14645500917980747,-0.3206414799517468,-0.10752661033067541,-0.0604805583154597,-0.038353849065140166,-1.480140534473364e-17,1.8642809419898917e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.6495866693654856,-0.39395577028310597,-0.1842963656777353,-0.14645500917980747,-0.3206414799517468,-0.10752661033067541,-0.0604805583154597,-0.038353849065140166,-1.480140534473364e-17,1.8642809419898917e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.6495866693654856,-0.39395577028310597,-0.1842963656777353,-0.14645500917980747,-0.3206414799517468,-0.10752661033067541,-0.0604805583154597,-0.038353849065140166,-1.480140534473364e-17,1.8642809419898917e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.6495866693654856,-0.39395577028310597,-0.1842963656777353,-0.14645500917980747,-0.3206414799517468,-0.10752661033067541,-0.0604805583154597,-0.038353849065140166,-1.480140534473364e-17,1.8642809419898917e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.6495866693654856,-0.39395577028310597,-0.1842963656777353,-0.14645500917980747,-0.3206414799517468,-0.10752661033067541,-0.0604805583154597,-0.038353849065140166,-1.480140534473364e-17,1.8642809419898917e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.6495866693654856,-0.39395577028310597,-0.1842963656777353,-0.14645500917980747,-0.3206414799517468,-0.10752661033067541,-0.0604805583154597,-0.038353849065140166,-1.480140534473364e-17,1.8642809419898917e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
