,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
0,-0.11526634464365779,-0.10909488831748425,-0.43438082078629353,-0.4666095479071606,0.1355385111343008,-0.07173834724849842,-3.1560015563677077e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.11526634464365779,-0.10909488831748425,-0.43438082078629353,-0.4666095479071606,0.1355385111343008,-0.07173834724849842,-3.1560015563677077e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.09902494486413028,-0.07167042162337507,-0.5002194041890755,-0.4839108011070893,0.21843920544491188,-0.06872125152980538,-3.1560015563677077e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.14774914420271282,-0.18394382170570261,-0.30270365398072974,-0.4320070415073031,-0.030262877486921462,-0.07777253868588455,-3.1560015563677077e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.10398643061967582,-0.06960642920618593,-0.5563307166565656,-0.3492462120942437,0.20185226743581633,-0.06408660855779721,-3.1560015563677077e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.5375427389113732,-1.082131022364323,1.2774223476860358,-0.016776964709013954,-2.019879540941588,-0.1501828359345179,-3.1560015563677077e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.09902494486413028,-0.07167042162337507,-0.5002194041890755,-0.4839108011070893,0.21843920544491188,-0.06872125152980538,-3.1560015563677077e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.09902494486413028,-0.07167042162337507,-0.5002194041890755,-0.4839108011070893,0.21843920544491188,-0.06872125152980538,-3.1560015563677077e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.27515768918599687,0.0016013091868401406,-2.4921709967849757,4.296682108848929,-0.3703970938779797,0.09580857397648415,-3.804439948048163e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.39137014089562555,-0.7453108221173402,0.6848750970609986,-0.17248824350837247,-1.2737732921460878,-0.12302897446628039,-3.1560015563677077e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-1.1246340872942675,-2.606991990323112,4.182010593605392,1.4336577036686948,-0.043204165276105315,-0.0035656776302227587,7.946228689883858e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-0.40761154067515304,-0.7827352888114494,0.7507136804637805,-0.15518699030844374,-1.3566739864566988,-0.12604607018497346,-3.1560015563677077e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-0.17344723119731337,-0.040710535365537676,-1.3418890912014279,1.5360580340855945,-0.030364864691521186,0.0007983930503169748,-3.1560015563677077e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-0.11774708752143057,-0.10806289210888965,-0.46243647702003865,-0.3992772534007378,0.127245042129753,-0.06942102576249434,-3.1560015563677077e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-0.09902494486413028,-0.07167042162337507,-0.5002194041890755,-0.4839108011070893,0.21843920544491188,-0.06872125152980538,-3.1560015563677077e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-0.09902494486413028,-0.07167042162337507,-0.5002194041890755,-0.4839108011070893,0.21843920544491188,-0.06872125152980538,-3.1560015563677077e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-0.21271474332082288,-0.3336416884821393,-0.0393493203696022,-0.36280202870758826,-0.3618656547293659,-0.08984092156065676,-3.1560015563677077e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,7.552053425386682,0.40897934999853036,1.0563055480754784,0.3996640142772321,-0.07985654619114027,0.011816625979318538,1.125788320420201e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
