,PC1,PC2,PC3
0,-0.26261286571944525,-5.551115123125783e-17,0.0
1,-0.26261286571944525,-5.551115123125783e-17,0.0
2,-0.26261286571944525,-5.551115123125783e-17,0.0
3,-0.26261286571944525,-5.551115123125783e-17,0.0
4,-0.26261286571944525,-5.551115123125783e-17,0.0
5,-0.26261286571944525,-5.551115123125783e-17,0.0
6,-0.26261286571944525,-5.551115123125783e-17,0.0
7,-0.26261286571944525,-5.551115123125783e-17,0.0
8,-0.26261286571944525,-5.551115123125783e-17,0.0
9,-0.26261286571944525,-5.551115123125783e-17,0.0
10,-0.26261286571944525,-5.551115123125783e-17,0.0
11,-0.26261286571944525,-5.551115123125783e-17,0.0
12,-0.26261286571944525,-5.551115123125783e-17,0.0
13,-0.26261286571944525,-5.551115123125783e-17,0.0
14,-0.26261286571944525,-5.551115123125783e-17,0.0
15,-0.26261286571944525,-5.551115123125783e-17,0.0
16,-0.26261286571944525,-5.551115123125783e-17,0.0
17,-0.26261286571944525,-5.551115123125783e-17,0.0
18,-0.26261286571944525,-5.551115123125783e-17,0.0
19,-0.26261286571944525,-5.551115123125783e-17,0.0
20,-0.26261286571944525,-5.551115123125783e-17,0.0
21,-0.26261286571944525,-5.551115123125783e-17,0.0
22,-0.26261286571944525,-5.551115123125783e-17,0.0
23,-0.26261286571944525,-5.551115123125783e-17,0.0
24,-0.26261286571944525,-5.551115123125783e-17,0.0
25,-0.26261286571944525,-5.551115123125783e-17,0.0
26,-0.26261286571944525,-5.551115123125783e-17,0.0
27,7.615773105863908,1.7763568394002505e-15,0.0
28,-0.26261286571944525,-5.551115123125783e-17,0.0
29,-0.26261286571944525,-5.551115123125783e-17,0.0
