,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
0,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,3.9391929857916814,3.676580120072228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-3.9391929857916725,3.676580120072236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-3.29920833145363e-16,-0.2626128657194451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
